OBJECTID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
62,49.028799999999997,-119.485799999999998,304.399999999999977,1.000000000000000,1.000000000000000,2019-03-22 0:00:00,2057,Aqua,MODIS,40,6.030000000000000,291.399999999999977,5.400000000000000,D,0
63,52.529400000000003,-122.051400000000001,311.500000000000000,1.000000000000000,1.000000000000000,2019-03-22 0:00:00,2058,Aqua,MODIS,71,6.030000000000000,276.199999999999989,14.000000000000000,D,0
64,52.538200000000003,-122.054900000000004,304.199999999999989,1.000000000000000,1.000000000000000,2019-03-22 0:00:00,2058,Aqua,MODIS,54,6.030000000000000,274.699999999999989,9.100000000000000,D,0
65,53.052799999999998,-124.673400000000001,307.100000000000023,1.100000000000000,1.000000000000000,2019-03-22 0:00:00,2059,Aqua,MODIS,61,6.030000000000000,269.800000000000011,13.900000000000000,D,0
66,53.050100000000000,-124.689099999999996,307.100000000000023,1.100000000000000,1.000000000000000,2019-03-22 0:00:00,2059,Aqua,MODIS,65,6.030000000000000,270.300000000000011,13.699999999999999,D,0
67,55.608800000000002,-120.234999999999999,306.300000000000011,1.000000000000000,1.000000000000000,2019-03-24 0:00:00,2047,Aqua,MODIS,46,6.030000000000000,268.899999999999977,10.699999999999999,D,0
68,55.619900000000001,-120.223600000000005,308.899999999999977,1.000000000000000,1.000000000000000,2019-03-24 0:00:00,2047,Aqua,MODIS,68,6.030000000000000,269.699999999999989,13.199999999999999,D,0
69,55.617600000000003,-120.239099999999993,315.699999999999989,1.000000000000000,1.000000000000000,2019-03-24 0:00:00,2047,Aqua,MODIS,76,6.030000000000000,268.600000000000023,18.500000000000000,D,0
70,53.189100000000003,-124.009299999999996,309.800000000000011,1.100000000000000,1.000000000000000,2019-03-25 0:00:00,1942,Terra,MODIS,45,6.030000000000000,275.100000000000023,13.400000000000000,D,0
71,53.849400000000003,-125.241900000000001,328.699999999999989,1.000000000000000,1.000000000000000,2019-03-25 0:00:00,1942,Terra,MODIS,67,6.030000000000000,275.100000000000023,29.800000000000001,D,0
72,53.843000000000004,-125.260900000000007,324.300000000000011,1.000000000000000,1.000000000000000,2019-03-25 0:00:00,1942,Terra,MODIS,72,6.030000000000000,274.899999999999977,25.600000000000001,D,0
